day,hour,minute,second,delta,fulltime
20211110,8,9,49,-1,2021-11-10 8:9:49
20211110,8,16,38,409,2021-11-10 8:16:38
20211110,8,25,25,527,2021-11-10 8:25:25
20211110,8,34,45,560,2021-11-10 8:34:45
20211110,8,44,6,561,2021-11-10 8:44:6
20211110,8,53,26,560,2021-11-10 8:53:26
20211110,9,2,56,570,2021-11-10 9:2:56
20211110,9,12,47,591,2021-11-10 9:12:47
20211110,9,22,56,609,2021-11-10 9:22:56
20211110,9,33,25,629,2021-11-10 9:33:25
20211110,9,44,3,638,2021-11-10 9:44:3
20211110,9,54,36,633,2021-11-10 9:54:36
20211110,10,5,59,683,2021-11-10 10:5:59
